priority,site_name,slug,base_url
3.0,PastoralistForumEthiopiaPFEMonographs,pastoralist_forum_ethiopia_pfe_monographs,
3.0,AcademyofScienceofSouthAfrica,academy_of_science_of_south_africa,
3.0,NationalJudicialInstituteNigeria,national_judicial_institute_nigeria,
3.0,SouthAfricanBureauofStandards,south_african_bureau_of_standards,
3.0,AfricanAssociationfortheStudyofReligions,african_association_for_the_study_of_religions,
3.0,NIALSPress,nials_press,
3.0,AlbanyMuseumMakhanda,albany_museum_makhanda,
3.0,TCNNPublications,tcnn_publications,
3.0,CenterforEmergingZoonoticandParasiticDiseases,center_for_emerging_zoonotic_and_parasitic_diseases,
3.0,NationalInstituteforOccupationalHealthSouthAfrica,national_institute_for_occupational_health_south_africa,
3.0,NigerianInstituteofAdvancedLegalStudiesNIALS,nigerian_institute_of_advanced_legal_studies_nials,https://nials.edu.ng/
3.0,HEBNPublishers,hebn_publishers,
3.0,NationalMetrologyInstituteofSouthAfrica,national_metrology_institute_of_south_africa,
3.0,NairobiUniversityPressLawSeries,nairobi_university_press_law_series,
3.0,SouthAfricanJudicialEducationInstitute,south_african_judicial_education_institute,
3.0,NationalLibraryofNigeria,national_library_of_nigeria,
3.0,NigerianInstituteofInternationalAffairsNIIA,nigerian_institute_of_international_affairs_niia,https://niia.gov.ng/
3.0,SouthAfricanNationalSpaceAgencySANSA,south_african_national_space_agency_sansa,https://www.sansa.org.za/publications/
3.0,CanonLawSocietyofNigeria,canon_law_society_of_nigeria,
3.0,PaulinesPublicationsAfrica,paulines_publications_africa,
3.0,ZoologicalSocietyofSouthernAfrica,zoological_society_of_southern_africa,
3.0,SOSSahelEthiopiaRangelandSeries,sos_sahel_ethiopia_rangeland_series,
3.0,Mintek,mintek,
3.0,EasternNileWatershedManagementProjectENTRO,eastern_nile_watershed_management_project_entro,
3.0,ACTS:AfricaChristianTextbooks,acts_africa_christian_textbooks,
3.0,StatsSASouthAfrica,stats_sa_south_africa,
3.0,InstituteforSecurityStudiesISSAfrica,institute_for_security_studies_iss_africa,https://issafrica.org/
3.0,NISCSouthAfrica,nisc_south_africa,
3.0,NationalLibraryofEthiopia,national_library_of_ethiopia,
3.0,LawAfricaPublishing,lawafrica_publishing,
3.0,RECONCILEPastoralPolicySeries,reconcile_pastoral_policy_series,
3.0,NationalArchivesandRecordsServiceofSouthAfrica,national_archives_and_records_service_of_south_africa,http://www.nationalarchives.gov.za/
3.0,NigerianPublishersAssociation,nigerian_publishers_association,
3.0,InstituteforJusticeandReconciliationIJR,institute_for_justice_and_reconciliation_ijr,https://www.ijr.org.za/
3.0,SouthAfricanNationalBiodiversityInstitute,south_african_national_biodiversity_institute,
3.0,SouthAfricanSanInstitute,south_african_san_institute,
3.0,GlobalPeatlandsInitiative,global_peatlands_initiative,
3.0,WaterandLandResourceCentreEthiopia,water_and_land_resource_centre_ethiopia,
2.5,BHUPress,bhu_press,
2.5,EditorialUAM,editorial_uam,
2.5,UNDAVEdiciones,undav_ediciones,
2.5,ANGRAUPublications,angrau_publications,
2.5,EDUCC,educc,
2.5,HunanUniversityPress,hunan_university_press,
2.5,EditorialUNRN,editorial_unrn,
2.5,NationalAutonomousUniversityofMexico,national_autonomous_university_of_mexico,
2.5,EditorialUPCH,editorial_upch,
2.5,IORPress,ior_press,
2.5,EdicionesUDP,ediciones_udp,
2.5,MuseoNacionaldeArteMexico,museo_nacional_de_arte_mexico,
2.5,FondoEditorialUPCH,fondo_editorial_upch,
2.5,ReddeEditorialesdeUniversidadesNacionalesdelaArgentina,red_de_editoriales_de_universidades_nacionales_de_la_argentina,
2.5,KeioUniversityPress,keio_university_press,
2.5,EditorialIbero,editorial_ibero,
2.5,NationalPedagogicUniversity,national_pedagogic_university,
2.5,EdicionesUNGS,ediciones_ungs,
2.5,EditorialUASB,editorial_uasb,
2.5,EditorialUADER,editorial_uader,
2.5,AISTPublishing,aist_publishing,
2.5,EditorialUCSF,editorial_ucsf,
2.5,AKMishraAgencies,a_k_mishra_agencies,
2.5,MuseoNacionaldeBellasArtesChile,museo_nacional_de_bellas_artes_chile,
2.5,MinzuUniversityPress,minzu_university_press,
2.5,ChuoUniversityPress,chuo_university_press,
2.5,SBPC,sbpc,
2.5,UVMPress,uvm_press,
2.5,ANUIES,anuies,
2.5,FondoEditorialdeADABI,fondo_editorial_de_adabi,
2.5,CEPTUniversityPress,cept_university_press,
2.5,AnhuiUniversityPress,anhui_university_press,
2.5,EditorialITBA,editorial_itba,
2.5,CIAT,ciat,
2.5,EditorialUPTC,editorial_uptc,
2.5,WuhanUniversityPress,wuhan_university_press,
2.5,FAPDF,fapdf,
2.5,TamilUniversityPress,tamil_university_press,
2.5,UniversidaddeAntioquiaEditorial,universidad_de_antioquia_editorial,
2.5,EditorialUNSJ,editorial_unsj,
2.5,OsakaUniversityPress,osaka_university_press,
2.5,EdicionesEAN,ediciones_ean,
2.5,EdicionesUC,ediciones_uc,
2.5,FondoEditorialdeCali,fondo_editorial_de_cali,
2.5,EditorialCINOC,editorial_cinoc,
2.5,EUDEM,eudem,
2.5,GyanPublishingHouse,gyan_publishing_house,
2.5,HoseiUniversityPress,hosei_university_press,
2.5,ANSinhaInstituteofSocialStudiesANSISS,a_n_sinha_institute_of_social_studies_ansiss,https://ansiss.res.in/
2.5,UniversidadVeracruzanaEditorial,universidad_veracruzana_editorial,
2.5,CELAM,celam,
2.5,IARIPublications,iari_publications,
2.5,IIScPress,iisc_press,
2.5,EditorialUCALP,editorial_ucalp,
2.5,ANGRUPublications,angru_publications,
2.5,EditorialUPC,editorial_upc,
2.5,EDUPA,edupa,
2.5,EditorialTeseo,editorial_teseo,
2.5,"UniversidaddelosAndes,EdicionesUniandes",universidad_de_los_andes_ediciones_uniandes,
1.5,MuseumsVictoria,museums_victoria,https://museumsvictoria.com.au/about-us/publications/
1.5,UniversityofNewSouthWalesPress,university_of_new_south_wales_press,
1.5,ASEDA,aseda,
1.5,BlueCarbonLabDeakinUniversity,blue_carbon_lab_deakin_university,
1.5,QueenslandMuseum,queensland_museum,
1.5,AfaanPublications,afaan_publications,
1.5,IADPress,iad_press,
1.5,ResearchCentreforLinguisticTypology,research_centre_for_linguistic_typology,
1.5,VictoriaUniversityofWellingtonLawReview,victoria_university_of_wellington_law_review,
1.5,SouthAustralianMuseum,south_australian_museum,
1.5,WesternAustralianMuseum,western_australian_museum,
1.5,AustralianMuseum,australian_museum,
1.0,UniversidadORTUruguay,universidad_ort_uruguay,
1.0,ArabCenterforResearchandPolicyStudiesACRPS,arab_center_for_research_and_policy_studies_acrps,https://www.arabcenter.org.qa/
1.0,KNUSTPress,knust_press,
1.0,UniversidadeNacionalTimorLorosaePublications,universidade_nacional_timor_lorosa_e_publications,
1.0,UniversityofMariborPress,university_of_maribor_press,
1.0,KingAbdulazizUniversityPress,king_abdulaziz_university_press,
1.0,UniversityofBotswanaPress,university_of_botswana_press,
1.0,AazemPublications,aazem_publications,
1.0,NEI,nei,
1.0,AcademyoftheArabicLanguageCairo,academy_of_the_arabic_language_cairo,
1.0,PNGUniversityofTechnologyPress,png_university_of_technology_press,
1.0,AdibPublishingHouse,adib_publishing_house,
1.0,IMU,imu,
1.0,ArmyUniversityPress,army_university_press,
1.0,UniversityofBucharestPress,university_of_bucharest_press,
1.0,UniversityofLiberiaPress,university_of_liberia_press,
1.0,ArcticCentreUniversityofLapland,arctic_centre_university_of_lapland,
1.0,AirUniversityPress,air_university_press,https://www.airuniversity.af.edu/AUPress/
1.0,ShirazUniversityofMedicalSciences,shiraz_university_of_medical_sciences,
1.0,BangladeshAcademyofSciencesPublications,bangladesh_academy_of_sciences_publications,
1.0,UniversityofZagrebPress,university_of_zagreb_press,
1.0,ImamMohammadIbnSaudIslamicUniversityPublishingHouse,imam_mohammad_ibn_saud_islamic_university_publishing_house,
1.0,NanyangTechnologicalUniversity,nanyang_technological_university,
1.0,AmiriPublications,amiri_publications,
1.0,UKMPress,ukm_press,
1.0,UniversityofBelgradeFacultyofLawPublishing,university_of_belgrade_faculty_of_law_publishing,
1.0,PisaUniversityPress,pisa_university_press,
1.0,AUBPress,aub_press,
1.0,AzerbaijanNationalAcademyofSciences,azerbaijan_national_academy_of_sciences,
1.0,STUPublishingHouse,stu_publishing_house,
1.0,EditorialUAGRM,editorial_uagrm,
1.0,BRACResearchandEvaluationDivisionRED,brac_research_and_evaluation_division_red,https://www.brac.net/research
1.0,UniversityofMosulPress,university_of_mosul_press,
1.0,YKY,yky,
1.0,UniversityofPrimorskaPress,university_of_primorska_press,
1.0,UniversityofNouakchottPublications,university_of_nouakchott_publications,
1.0,CentralAsianUniversityPressTashkent,central_asian_university_press_tashkent,
1.0,CEToM,cetom,
1.0,VajraPublications,vajra_publications,
1.0,ArchivesoftheSerbianAcademyofSciencesandArts,archives_of_the_serbian_academy_of_sciences_and_arts,
1.0,UniversityofDebrecenPress,university_of_debrecen_press,
1.0,EBUC,ebuc,
1.0,BluefieldsIndianAndCaribbeanUniversity,bluefields_indian_caribbean_university,
1.0,AfricanResearchNexus,african_research_nexus,
1.0,UNWEPublishing,unwe_publishing,
1.0,GIDAPublications,gida_publications,
1.0,UniversityofRijekaPress,university_of_rijeka_press,
1.0,UniversityofGreenland,university_of_greenland,
1.0,CEDA,ceda,
1.0,GhentUniversityPress,ghent_university_press,
1.0,METUPress,metu_press,
1.0,AmericanCenterofResearch,american_center_of_research,
1.0,IlimPublishingHouse,ilim_publishing_house,
1.0,IrfonPublishingHouse,irfon_publishing_house,
1.0,KathmanduUniversityPublications,kathmandu_university_publications,
1.0,YerevanStateUniversityPublishingHouse,yerevan_state_university_publishing_house,
1.0,LebaneseAmericanUniversityPublications,lebanese_american_university_publications,
1.0,AcademyofScientificResearchandTechnologyASRT,academy_of_scientific_research_and_technology_asrt,http://www.asrt.sci.eg/
1.0,Nauka,nauka,
1.0,UniversityofTehranPress,university_of_tehran_press,
1.0,BalochistanJudicialAcademy,balochistan_judicial_academy,
1.0,AcademyofSciencesoftheRepublicofBashkortostan,academy_of_sciences_of_the_republic_of_bashkortostan,http://www.anrb.ru/
1.0,InternationalTheravadaBuddhistMissionaryUniversity,international_theravada_buddhist_missionary_university,
1.0,WestUniversityofTimisoaraPress,west_university_of_timisoara_press,
1.0,UniversityofSantoTomasPublishingHouse,university_of_santo_tomas_publishing_house,
1.0,LvivUniversityPress,lviv_university_press,
