territory,platform,seller_id,title,author,condition,price,listing_url,timestamp,seller_comments
India,Book Share,Sree,Veettil oru laboratory,P. T. Thomas,Free to Share,Free to Share,https://bookshare.wiktait.com/book/53,2026-05-03T20:45:24.651547,2
India,Book Share,Sree,Kartoon kadakal,Raju Nair,Free to Share,Free to Share,https://bookshare.wiktait.com/book/51,2026-05-03T20:45:24.651583,1
India,Book Share,Sree,Kurumulaku,S. K. Pottekkatt,Free to Share,Free to Share,https://bookshare.wiktait.com/book/50,2026-05-03T20:45:24.651620,2
India,Book Share,Sree,Vedic mathematics,Jagadguru Swami Sri Bharati Krsna Tirthaji Maharaj,Free to Share,Free to Share,https://bookshare.wiktait.com/book/49,2026-05-03T20:45:24.651661,
India,Book Share,Sree,Nattucharithram,Dr. C. R. Rajagopalan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/48,2026-05-03T20:45:24.651700,
India,Book Share,Sree,Nasthikanaya Daivan,C. Ravichandran,Free to Share,Free to Share,https://bookshare.wiktait.com/book/47,2026-05-03T20:45:24.651737,5
India,Book Share,Sree,Utsavangalil Nashtamakunnathu,S. Rajasekharan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/46,2026-05-03T20:45:24.651774,1
India,Book Share,Sree,Thirukkural,Thiruvalluvar Translation by S. Ramesan Nair,Free to Share,Free to Share,https://bookshare.wiktait.com/book/45,2026-05-03T20:45:24.651810,
India,Book Share,Sree,Pravasam,M. Mukundan,Free to Share,Free to Share,https://bookshare.wiktait.com/book/44,2026-05-03T20:45:24.651847,
India,Book Share,Sree,"Leninte Punchiri, Valiya Hridayam","Nikolay bogdanov, boris lavrinov",Free to Share,Free to Share,https://bookshare.wiktait.com/book/43,2026-05-03T20:45:24.651901,
India,Book Share,Sree,Kuttikalum Chithrangalum,Vladimir Suteev,Free to Share,Free to Share,https://bookshare.wiktait.com/book/42,2026-05-03T20:45:24.651946,
India,Book Share,Sree,Puzhayile deepangal,Nikolay dubove,Free to Share,Free to Share,https://bookshare.wiktait.com/book/41,2026-05-03T20:45:24.652005,
India,Book Share,AKRPJP,THE STORY OF MY LIFE,HELLEN KELLER,Free to Share,Free to Share,https://bookshare.wiktait.com/book/16,2026-05-03T20:45:24.652065,2017
India,Book Share,AKRPJP,THE FOUNTATIONHEAD,AYN RAND,Free to Share,Free to Share,https://bookshare.wiktait.com/book/6,2026-05-03T20:45:24.652122,CENTENNIAL EDITION
India,Book Share,AKRPJP,Vijanathayile Sahacharikal,Pandith Sreeram Sharma Acharya,Free to Share,Free to Share,https://bookshare.wiktait.com/book/20,2026-05-03T20:45:24.652181,
India,Book Share,AKRPJP,Thirukkural,Thiruvalluvar,Free to Share,Free to Share,https://bookshare.wiktait.com/book/18,2026-05-03T20:45:24.652243,
India,Book Share,AKRPJP,Nalloru Naale,Sai Baba Advices,Free to Share,Free to Share,https://bookshare.wiktait.com/book/19,2026-05-03T20:45:24.652311,
