source_record_id,record_name,organization_or_adscription,admin1_name,municipality_name,website,raw_libreria_ce,pass34_role_review_bucket,pass34_role_review_triggers,pass34_candidate_strict_bookstore_review,pass34_promotion_status,pass34_promotion_blockers,source_record_url
587,"Librería de Porrúa Hermanos y Compañía, Sucursal Justo Sierra","Librería de Porrúa Hermanos y Compañía, S.A. de C.V.",Ciudad de México,Cuauhtémoc,http://www.porrua.mx/,t,known_bookstore_chain_candidate_review,known_chain:porrua,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=587
699,"Librería San Pablo, Sucursal Motolinia","Ediciones Paulinas, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://tulibreria.info/librerias-san-pablo/libreria-san-pablo-motolinia/,t,known_bookstore_chain_candidate_review,known_chain:san pablo;known_chain:paulinas;role_collision_but_known_chain:ediciones,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=699
1907,Librería The New Option Bookshop,"The New Option Bookshop, S.A. de C.V.",Ciudad de México,Cuauhtémoc,,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1907
330,Librería Atico,Particular,Ciudad de México,Cuauhtémoc,,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=330
1846,"Librería de Porrúa Hermanos y Compañía, Sucursal Tribunal Superior de Justicia","Librería de Porrúa Hermanos y Compañía, S.A. de C.V.",Ciudad de México,Cuauhtémoc,http://www.porrua.mx/sucursales,t,known_bookstore_chain_candidate_review,known_chain:porrua,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1846
593,"Librería Editores Mexicanos Unidos, Sucursal metro Zócalo-Pino Suárez","Editores Mexicanos Unidos, S.A.",Ciudad de México,Cuauhtémoc,https://editoresmexicanosunidos.mx/contacto/,t,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=593
426,"Librería Nueva Secam, Sucursal Durango","Fray Juan de Zumárraga, A.R.",Ciudad de México,Cuauhtémoc,,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=426
670,"Librerías El Sótano, Sucursal Bellas Artes","Librería del Sótano Coyoacán, S.A. de C.V.",Ciudad de México,Cuauhtémoc,http://www.elsotano.com,t,known_bookstore_chain_candidate_review,known_chain:sotano,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=670
160,"Librería de Porrúa Hermanos y Compañía, Casa Matriz","Librería de Porrúa Hermanos y Compañía, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://porrua.mx/sucursales/,t,known_bookstore_chain_candidate_review,known_chain:porrua,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=160
2405,Antonia. La oficina del libro,,Ciudad de México,Cuauhtémoc,https://www.facebook.com/laodellibro/,f,named_bookstore_candidate_review,positive_bookstore: del libro,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2405
2106,Exit La Librería,"Exit La Librería, S. de R.L. de C.V",Ciudad de México,Cuauhtémoc,https://www.exitlalibreria.com/,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2106
689,Librería La Torre de Papel,"La Torre de Papel, S.A. de C.V.",Ciudad de México,Cuauhtémoc,http://www.latorredepapel.com,f,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=689
636,Librería NyE Omicrón,"NyE Omicrón, S.A. de C.V.",Ciudad de México,Cuauhtémoc,http://www.librisite.com,t,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=636
2506,Librería Malpaso,,Ciudad de México,Cuauhtémoc,https://malpasoycia.mx/,t,named_bookstore_candidate_review,positive_bookstore:libreria,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2506
2348,Libros Médicos Continental,"Libros Médicos Continental, S.A. de C.V.",Ciudad de México,Cuauhtémoc,,f,named_bookstore_candidate_review,positive_bookstore:libros ,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=2348
1834,"Librerías Gandhi, Sucursal Madero","Librerías Gandhi, S.A. de C.V.",Ciudad de México,Cuauhtémoc,http://www.gandhi.com.mx/index.cfm/id/f:corporativo-sucursales,t,known_bookstore_chain_candidate_review,known_chain:gandhi,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1834
1015,"Librerías Gandhi, Sucursal Bellas Artes","Librerías Gandhi, S.A. de C.V.",Ciudad de México,Cuauhtémoc,https://eventos.gandhi.com.mx/lugar/libreria-gandhi-bellas-artes/,t,known_bookstore_chain_candidate_review,known_chain:gandhi,true,staged_not_promoted_role_review_only,source_scope_mixed_librerias_y_puntos_de_venta;classification_is_review_layer_not_promotion;row_level_external_corrob_not_completed,http://sic.gob.mx/ficha.php?table=libreria&table_id=1015
